Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event,Rider_normalized,Race Title,Conditions,Temperature,Track Conditions,Humidity,Ground Temp,Avg_Position_Last3,Podiums_Last5,Points_Streak,circuit_file,file,length_km,width_m,right corners,left corners,Race_Number_Season,Rider_Experience,Points_numeric,Season_Points_So_Far,Championship_Position,Team_Avg_Position,Difficult_Conditions,Rider_Circuit_Avg,Podio
15,1,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+12.740,Event ger,2010.0,ger,Bautistarizla,Event ger,Partly Cloudy,20º,Dry,44%,29º,9.0,0.0,4.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,27,1.0,1.0,30.0,1.0,13.0,0,,0
9,7,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+29.451,Event hun,2010.0,hun,Bautistarizla,Event hun,Sunny,22º,Dry,33%,27º,11.0,0.0,5.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,28,1.0,7.0,37.0,1.0,9.0,0,,0
14,2,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+84.389,Event ita,2010.0,ita,Bautistarizla,,,,,,,11.0,0.0,6.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,29,1.0,2.0,39.0,1.0,12.0,0,,0
14,2,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+68.074,Event ned,2010.0,ned,Bautistarizla,Event ned,Sunny,23º,Dry,23%,48º,12.666666666666666,0.0,7.0,,,,,,,30,1.0,2.0,41.0,1.0,13.5,0,,0
9,7,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+29.451,Event tha,2010.0,tha,Bautistarizla,Event tha,Sunny,22º,Dry,33%,27º,14.0,0.0,9.0,,,,,,,32,1.0,7.0,48.0,1.0,9.0,0,,0
6,10,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+30.373,Event ara,2011.0,ara,Bautistarizla,Event ara,Partly Cloudy,19º,Dry,50%,26º,11.5,0.0,10.0,,,,,,,41,2.0,10.0,10.0,1.0,6.0,0,8.0,0
12,4,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+64.192,Event fra,2011.0,fra,Bautistarizla,,,,,,,,0.0,15.0,,,,,,,46,2.0,4.0,14.0,1.0,12.0,0,,0
5,11,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+35.569,Event gbr,2011.0,gbr,Bautistarizla,Event gbr,Raining,11º,Wet,85%,10º,12.0,0.0,16.0,,,,,,,47,2.0,11.0,25.0,1.0,5.0,0,,0
7,9,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+27.451,Event ger,2011.0,ger,Bautistarizla,Event ger,Cloudy,21º,Dry,49%,29º,8.5,0.0,17.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,48,2.0,9.0,34.0,1.0,7.0,0,15.0,0
13,3,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+47.654,Event ita,2011.0,ita,Bautistarizla,,,,,,,6.0,0.0,19.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,50,2.0,3.0,37.0,1.0,13.0,0,14.0,0
11,5,19A. Bautista19A. BautistaRizla Suzuki MotoGP,Rizla Suzuki MotoGP,+98.466,Event ned,2011.0,ned,Bautistarizla,Event ned,Cloudy,14º,Dry,82%,16º,10.0,0.0,20.0,,,,,,,51,2.0,5.0,42.0,1.0,11.0,0,14.0,0
6,10,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+28.166,Event ara,2012.0,ara,Bautistasan,,,,,,,,,0.0,,,,,,,28,1.0,10.0,10.0,1.0,10.5,0,,0
4,13,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+62.811,Event arg,2012.0,arg,Bautistasan,Event arg,Cloudy,13º,Wet,81%,15º,6.0,0.0,1.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,29,1.0,13.0,23.0,1.0,4.5,0,,0
4,13,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+62.811,Event aut,2012.0,aut,Bautistasan,Event aut,Cloudy,13º,Wet,81%,15º,5.0,0.0,2.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,30,1.0,13.0,36.0,1.0,4.5,0,,0
6,10,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+29.451,Event cze,2012.0,cze,Bautistasan,,,,,,,4.666666666666667,0.0,3.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,31,1.0,10.0,46.0,1.0,10.0,0,,0
4,13,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+62.811,Event esp,2012.0,esp,Bautistasan,Event esp,Cloudy,13º,Wet,81%,15º,4.666666666666667,0.0,4.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,32,1.0,13.0,59.0,1.0,4.5,0,,0
10,6,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+73.193,Event fra,2012.0,fra,Bautistasan,,,,,,,4.666666666666667,0.0,5.0,,,,,,,33,1.0,6.0,65.0,1.0,12.0,0,,0
4,13,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+5.196,Event gbr,2012.0,gbr,Bautistasan,Event gbr,Cloudy,15º,Dry,71%,23º,6.666666666666667,0.0,6.0,,,,,,,34,1.0,13.0,78.0,1.0,8.5,0,,0
4,13,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+62.811,Event hun,2012.0,hun,Bautistasan,Event hun,Cloudy,13º,Wet,81%,15º,6.0,0.0,7.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,35,1.0,13.0,91.0,1.0,4.5,0,,0
10,6,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+34.589,Event ita,2012.0,ita,Bautistasan,Event ita,Partly Cloudy,25º,Dry,43%,45º,6.0,0.0,8.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,36,1.0,6.0,97.0,1.0,10.0,0,,0
7,9,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+28.446,Event qat,2012.0,qat,Bautistasan,Event qat,Partly Cloudy,24º,Dry,53%,23º,7.0,0.0,10.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,38,1.0,9.0,106.0,1.0,7.0,0,,0
4,13,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+62.811,Event tha,2012.0,tha,Bautistasan,Event tha,Cloudy,13º,Wet,81%,15º,8.5,0.0,11.0,,,,,,,39,1.0,13.0,119.0,1.0,4.5,0,,0
8,8,19A. Bautista19A. BautistaSan Carlo Honda Gresini,San Carlo Honda Gresini,+50.246,Event usa,2012.0,usa,Bautistasan,Event usa,Sunny,18º,Dry,65%,24º,5.5,0.0,12.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,40,1.0,8.0,127.0,1.0,8.0,0,,0
14,ND,J. BayleJ. Bayle,,+27.011,Event fra,2002.0,fra,Baylej,Event fra,,,,,,,,0.0,,,,,,,43,1.0,0.0,0.0,1.0,,0,,0
13,ND,J. BayleJ. Bayle,,+77.803,Event ita,2002.0,ita,Baylej,Event ita,,,,,,14.0,0.0,1.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,44,1.0,0.0,0.0,1.0,,0,,0
10,6,12T. Bayliss12T. Bayliss,,+52.607,Event fra,2005.0,fra,Bayliss,,,,,,,,,0.0,,,,,,,33,1.0,6.0,6.0,1.0,,0,,0
13,3,12T. Bayliss12T. Bayliss,,+43.916,Event ita,2005.0,ita,Bayliss,Event ita,Partly Cloudy,27º,Dry,20%,42º,10.0,0.0,1.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,34,1.0,3.0,9.0,1.0,,0,,0
11,5,12T. Bayliss12T. Bayliss,,+43.802,Event ned,2005.0,ned,Bayliss,Event ned,Sunny,23º,Dry,32%,30º,11.5,0.0,2.0,,,,,,,35,1.0,5.0,14.0,1.0,,0,,0
1,25,12T. Bayliss12T. BaylissDucati Marlboro Team,Ducati Marlboro Team,46:55.415,Event ara,2006.0,ara,Baylissducati,Event ara,Sunny,32º,Dry,11%,43º,,,0.0,,,,,,,1,1.0,25.0,25.0,1.0,1.5,0,,1
1,25,12T. Bayliss12T. BaylissDucati Marlboro Team,Ducati Marlboro Team,46:55.415,Event arg,2006.0,arg,Baylissducati,Event arg,Sunny,32º,Dry,11%,43º,1.0,1.0,1.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,2,1.0,25.0,50.0,1.0,1.5,0,,1
1,25,12T. Bayliss12T. BaylissDucati Marlboro Team,Ducati Marlboro Team,46:55.415,Event aut,2006.0,aut,Baylissducati,Event aut,Sunny,32º,Dry,11%,43º,1.0,2.0,2.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,3,1.0,25.0,75.0,1.0,1.5,0,,1
1,25,12T. Bayliss12T. BaylissDucati Marlboro Team,Ducati Marlboro Team,46:55.415,Event esp,2006.0,esp,Baylissducati,Event esp,Sunny,32º,Dry,11%,43º,1.0,3.0,3.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,4,1.0,25.0,100.0,1.0,1.5,0,,1
1,25,12T. Bayliss12T. BaylissDucati Marlboro Team,Ducati Marlboro Team,46:55.415,Event hun,2006.0,hun,Baylissducati,,,,,,,1.0,4.0,4.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,5,1.0,25.0,125.0,1.0,1.5,0,,1
1,25,12T. Bayliss12T. BaylissDucati Marlboro Team,Ducati Marlboro Team,46:55.415,Event tha,2006.0,tha,Baylissducati,Event tha,Sunny,32º,Dry,11%,43º,1.0,5.0,5.0,,,,,,,6,1.0,25.0,150.0,1.0,1.5,0,,1
6,10,12T. Bayliss12T. BaylissHonda Pons,Honda Pons,+22.381,Event usa,2005.0,usa,Baylisshonda,Event usa,Sunny,23º,Dry,29%,52º,,,0.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,38,1.0,10.0,10.0,1.0,6.0,0,,0
7,ND,T. BaylissT. Bayliss,,+37.770,Event ara,2003.0,ara,Baylisst,Event ara,,,,,,,,0.0,,,,,,,38,1.0,0.0,0.0,1.0,,0,,0
7,ND,T. BaylissT. Bayliss,,+37.770,Event arg,2003.0,arg,Baylisst,Event arg,,,,,,7.0,0.0,1.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,39,1.0,0.0,0.0,1.0,,0,,0
7,ND,T. BaylissT. Bayliss,,+37.770,Event aut,2003.0,aut,Baylisst,Event aut,,,,,,7.0,0.0,2.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,40,1.0,0.0,0.0,1.0,,0,,0
3,ND,T. BaylissT. Bayliss,,+0.668,Event cze,2003.0,cze,Baylisst,Event cze,,,,,,7.0,0.0,3.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,41,1.0,0.0,0.0,1.0,,0,,1
7,ND,T. BaylissT. Bayliss,,+37.770,Event esp,2003.0,esp,Baylisst,Event esp,,,,,,5.666666666666667,1.0,4.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,42,1.0,0.0,0.0,1.0,,0,,0
5,ND,T. BaylissT. Bayliss,,+16.269,Event gbr,2003.0,gbr,Baylisst,Event gbr,,,,,,5.0,1.0,6.0,,,,,,,44,1.0,0.0,0.0,1.0,,0,,0
3,ND,T. BaylissT. Bayliss,,+13.207,Event ger,2003.0,ger,Baylisst,Event ger,,,,,,6.0,1.0,7.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,45,1.0,0.0,0.0,1.0,,0,,1
7,ND,T. BaylissT. Bayliss,,+37.770,Event hun,2003.0,hun,Baylisst,Event hun,,,,,,4.0,2.0,8.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,46,1.0,0.0,0.0,1.0,,0,,0
9,ND,T. BaylissT. Bayliss,,+93.536,Event ned,2003.0,ned,Baylisst,Event ned,,,,,,5.0,1.0,10.0,,,,,,,48,1.0,0.0,0.0,1.0,,0,,0
7,ND,T. BaylissT. Bayliss,,+37.770,Event qat,2003.0,qat,Baylisst,Event qat,,,,,,8.0,1.0,11.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,49,1.0,0.0,0.0,1.0,,0,,0
7,ND,T. BaylissT. Bayliss,,+37.770,Event tha,2003.0,tha,Baylisst,Event tha,,,,,,8.0,1.0,12.0,,,,,,,50,1.0,0.0,0.0,1.0,,0,,0
7,ND,T. BaylissT. Bayliss,,+37.770,Event usa,2003.0,usa,Baylisst,Event usa,,,,,,7.666666666666667,0.0,13.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,51,1.0,0.0,0.0,1.0,,0,,0
3,ND,T. BaylissT. Bayliss,,+3.133,Event ara,2004.0,ara,Baylisst,Event ara,,,,,,7.0,0.0,14.0,,,,,,,43,2.0,0.0,0.0,1.0,,0,7.0,1
3,ND,T. BaylissT. Bayliss,,+3.133,Event arg,2004.0,arg,Baylisst,Event arg,,,,,,5.666666666666667,1.0,15.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,44,2.0,0.0,0.0,1.0,,0,7.0,1
3,ND,T. BaylissT. Bayliss,,+3.133,Event aut,2004.0,aut,Baylisst,Event aut,,,,,,4.333333333333333,2.0,16.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,45,2.0,0.0,0.0,1.0,,0,7.0,1
3,ND,T. BaylissT. Bayliss,,+3.133,Event esp,2004.0,esp,Baylisst,Event esp,,,,,,3.0,3.0,18.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,47,2.0,0.0,0.0,1.0,,0,7.0,1
8,ND,T. BaylissT. Bayliss,,+31.530,Event fra,2004.0,fra,Baylisst,Event fra,,,,,,3.0,4.0,19.0,,,,,,,48,2.0,0.0,0.0,1.0,,0,,0
5,ND,T. BaylissT. Bayliss,,+14.711,Event gbr,2004.0,gbr,Baylisst,Event gbr,,,,,,5.5,3.0,20.0,,,,,,,49,2.0,0.0,0.0,1.0,,0,5.0,0
3,ND,T. BaylissT. Bayliss,,+3.133,Event hun,2004.0,hun,Baylisst,Event hun,,,,,,6.5,1.0,22.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,51,2.0,0.0,0.0,1.0,,0,7.0,1
4,ND,T. BaylissT. Bayliss,,+1.782,Event ita,2004.0,ita,Baylisst,Event ita,,,,,,4.0,2.0,23.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,52,2.0,0.0,0.0,1.0,,0,,0
3,ND,T. BaylissT. Bayliss,,+3.133,Event tha,2004.0,tha,Baylisst,Event tha,,,,,,4.0,1.0,26.0,,,,,,,55,2.0,0.0,0.0,1.0,,0,7.0,1
3,ND,T. BaylissT. Bayliss,,+3.133,Event usa,2004.0,usa,Baylisst,Event usa,,,,,,3.0,2.0,27.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,56,2.0,0.0,0.0,1.0,,0,7.0,1
14,2,76L. Baz76L. BazAthinà Forward Racing,Athinà Forward Racing,+42.853,Event arg,2015.0,arg,Bazathin,,,,,,,,,0.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,34,1.0,2.0,2.0,1.0,14.5,0,,0
19,ND,76L. Baz76L. BazAthinà Forward Racing,Athinà Forward Racing,+71.162,Event ger,2015.0,ger,Bazathin,Event ger,Partly Cloudy,27º,Dry,38%,42º,14.0,0.0,0.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,35,1.0,0.0,2.0,1.0,19.0,0,,0
15,1,76L. Baz76L. BazAthinà Forward Racing,Athinà Forward Racing,+52.396,Event ned,2015.0,ned,Bazathin,Event ned,Partly Cloudy,20º,Dry,66%,30º,16.5,0.0,1.0,,,,,,,36,1.0,1.0,3.0,1.0,15.0,0,,0
22,ND,76L. Baz76L. BazAthinà Forward Racing,Athinà Forward Racing,+0.000,Event qat,2015.0,qat,Bazathin,Event qat,Clear,22º,Dry,83%,28º,16.0,0.0,0.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,37,1.0,0.0,3.0,1.0,19.0,0,,0
13,3,76L. Baz76L. BazAvintia Racing,Avintia Racing,+44.284,Event aut,2016.0,aut,Bazavintia,Event aut,Partly Cloudy,27º,Dry,38%,46º,,,1.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,41,1.0,3.0,3.0,1.0,13.0,0,,0
4,13,76L. Baz76L. BazAvintia Racing,Avintia Racing,+12.558,Event cze,2016.0,cze,Bazavintia,Event cze,Cloudy,17º,Wet,100%,18º,13.0,0.0,2.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,42,1.0,13.0,16.0,1.0,4.5,0,,0
18,ND,76L. Baz76L. BazAvintia Racing,Avintia Racing,+66.164,Event esp,2016.0,esp,Bazavintia,Event esp,Partly Cloudy,22º,Dry,42%,25º,8.5,0.0,0.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,43,1.0,0.0,16.0,1.0,14.5,0,,0
12,4,76L. Baz76L. BazAvintia Racing,Avintia Racing,+67.658,Event fra,2016.0,fra,Bazavintia,Event fra,Partly Cloudy,22º,Dry,40%,35º,11.666666666666666,0.0,1.0,,,,,,,44,1.0,4.0,20.0,1.0,10.0,0,,0
17,ND,76L. Baz76L. BazAvintia Racing,Avintia Racing,+0.000,Event ger,2016.0,ger,Bazavintia,,,,,,,15.0,0.0,0.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,46,1.0,0.0,20.0,1.0,13.0,0,,0
18,ND,76L. Baz76L. BazAvintia Racing,Avintia Racing,+66.164,Event hun,2016.0,hun,Bazavintia,Event hun,Partly Cloudy,22º,Dry,42%,25º,14.5,0.0,0.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,47,1.0,0.0,20.0,1.0,14.5,0,,0
18,ND,76L. Baz76L. BazAvintia Racing,Avintia Racing,+66.164,Event tha,2016.0,tha,Bazavintia,Event tha,Partly Cloudy,22º,Dry,42%,25º,18.0,0.0,0.0,,,,,,,50,1.0,0.0,20.0,1.0,14.5,0,,0
18,ND,76L. Baz76L. BazAvintia Racing,Avintia Racing,+66.164,Event usa,2016.0,usa,Bazavintia,Event usa,Partly Cloudy,22º,Dry,42%,25º,18.0,0.0,0.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,51,1.0,0.0,20.0,1.0,14.5,0,,0
17,ND,76L. Baz76L. BazForward Racing,Forward Racing,+51.997,Event ara,2015.0,ara,Bazforward,Event ara,Partly Cloudy,23º,Dry,50%,39º,,,0.0,,,,,,,38,1.0,0.0,0.0,1.0,19.0,0,,0
19,ND,76L. Baz76L. BazForward Racing,Forward Racing,+64.339,Event aut,2015.0,aut,Bazforward,Event aut,Clear,23º,Dry,63%,29º,17.0,0.0,0.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,39,1.0,0.0,0.0,1.0,19.5,0,,0
15,1,76L. Baz76L. BazForward Racing,Forward Racing,+60.316,Event cze,2015.0,cze,Bazforward,,,,,,,18.0,0.0,1.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,40,1.0,1.0,1.0,1.0,17.5,0,,0
19,ND,76L. Baz76L. BazForward Racing,Forward Racing,+64.339,Event esp,2015.0,esp,Bazforward,Event esp,Clear,23º,Dry,63%,29º,17.0,0.0,0.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,41,1.0,0.0,1.0,1.0,19.5,0,,0
16,ND,76L. Baz76L. BazForward Racing,Forward Racing,+79.310,Event gbr,2015.0,gbr,Bazforward,Event gbr,Raining,16º,Wet,85%,18º,17.666666666666668,0.0,0.0,,,,,,,42,1.0,0.0,1.0,1.0,17.0,0,,0
19,ND,76L. Baz76L. BazForward Racing,Forward Racing,+64.339,Event usa,2015.0,usa,Bazforward,Event usa,Clear,23º,Dry,63%,29º,16.666666666666668,0.0,0.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,43,1.0,0.0,1.0,1.0,19.5,0,,0
21,ND,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+47.599,Event ara,2017.0,ara,Bazreale,Event ara,Clear,27º,Dry,44%,40º,,,0.0,,,,,,,49,1.0,0.0,0.0,1.0,19.5,0,,0
11,5,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+26.952,Event arg,2017.0,arg,Bazreale,Event arg,Cloudy,20º,Dry,60%,25º,21.0,0.0,1.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,50,1.0,5.0,5.0,1.0,12.0,0,,0
9,7,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+19.620,Event aut,2017.0,aut,Bazreale,,,,,,,16.0,0.0,2.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,51,1.0,7.0,12.0,1.0,13.0,0,,0
16,ND,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+47.709,Event esp,2017.0,esp,Bazreale,Event esp,Clear,25º,Dry,22%,26º,13.666666666666666,0.0,0.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,52,1.0,0.0,12.0,1.0,15.5,0,,0
9,7,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+45.784,Event fra,2017.0,fra,Bazreale,Event fra,Partly Cloudy,21º,Dry,50%,37º,12.0,0.0,1.0,,,,,,,53,1.0,7.0,19.0,1.0,9.0,0,,0
15,1,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+33.901,Event gbr,2017.0,gbr,Bazreale,Event gbr,Clear,25º,Dry,36%,40º,11.333333333333334,0.0,2.0,,,,,,,54,1.0,1.0,20.0,1.0,14.5,0,,0
19,ND,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+59.850,Event ger,2017.0,ger,Bazreale,,,,,,,13.333333333333334,0.0,0.0,ger_circuit_information.pdf,ger_circuit_information.pdf,3.671,12.0,3.0,10.0,55,1.0,0.0,20.0,1.0,19.0,0,,0
16,ND,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+47.709,Event hun,2017.0,hun,Bazreale,,,,,,,14.333333333333334,0.0,0.0,hun_circuit_information.pdf,hun_circuit_information.pdf,4.075,12.0,7.0,10.0,56,1.0,0.0,20.0,1.0,15.5,0,,0
18,ND,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+50.731,Event ita,2017.0,ita,Bazreale,Event ita,Partly Cloudy,25º,Dry,58%,42º,16.666666666666668,0.0,0.0,ita_circuit_information.pdf,ita_circuit_information.pdf,5.245,14.0,9.0,6.0,57,1.0,0.0,20.0,1.0,16.0,0,,0
8,8,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+37.058,Event ned,2017.0,ned,Bazreale,Event ned,Cloudy,18º,Wet,76%,25º,17.666666666666668,0.0,1.0,,,,,,,58,1.0,8.0,28.0,1.0,12.0,0,,0
16,ND,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+47.709,Event tha,2017.0,tha,Bazreale,Event tha,Clear,25º,Dry,22%,26º,14.0,0.0,0.0,,,,,,,59,1.0,0.0,28.0,1.0,15.5,0,,0
16,ND,76L. Baz76L. BazReale Avintia Racing,Reale Avintia Racing,+47.709,Event usa,2017.0,usa,Bazreale,Event usa,Clear,25º,Dry,22%,26º,14.0,0.0,0.0,usa_circuit_information.pdf,usa_circuit_information.pdf,4.075,12.0,7.0,10.0,60,1.0,0.0,28.0,1.0,15.5,0,,0
11,5,64B. Bendsneyder64B. BendsneyderNTS RW Racing GP,NTS RW Racing GP,+9.730,Event qat,2020.0,qat,Bendsneyder,Event qat,Clear,22º,Dry,66%,26º,,,0.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,13,1.0,5.0,5.0,1.0,17.0,0,,0
12,4,72M. Bezzecchi72M. BezzecchiSKY Racing Team VR46,SKY Racing Team VR46,+11.410,Event qat,2020.0,qat,Bezzecchi,Event qat,Clear,22º,Dry,66%,26º,,,0.0,qat_circuit_information.pdf,qat_circuit_information.pdf,5.38,12.0,10.0,6.0,14,1.0,4.0,4.0,1.0,12.0,0,,0
10,6,72M. Bezzecchi72M. BezzecchiMooney VR46 Racing Team,Mooney VR46 Racing Team,+16.150,Event ara,2022.0,ara,Bezzecchi,Event ara,Clear,23º,Dry,45%,40º,12.0,0.0,1.0,,,,,,,25,3.0,6.0,6.0,1.0,8.5,0,,0
9,7,72M. Bezzecchi72M. BezzecchiMooney VR46 Racing Team,Mooney VR46 Racing Team,+12.622,Event arg,2022.0,arg,Bezzecchi,,,,,,,11.0,0.0,2.0,arg_circuit_information.pdf,arg_circuit_information.pdf,4.806,16.0,9.0,5.0,26,3.0,7.0,13.0,1.0,10.0,0,,0
9,7,72M. Bezzecchi72M. BezzecchiMooney VR46 Racing Team,Mooney VR46 Racing Team,+16.987,Event aut,2022.0,aut,Bezzecchi,Event aut,Clear,º,Dry,%,º,10.333333333333334,0.0,3.0,aut_circuit_information.pdf,aut_circuit_information.pdf,4.348,12.0,8.0,3.0,27,3.0,7.0,20.0,1.0,6.5,0,,0
11,5,72M. Bezzecchi72M. BezzecchiMooney VR46 Racing Team,Mooney VR46 Racing Team,+17.655,Event cze,2022.0,cze,Bezzecchi,Event cze,Clear,27º,Dry,18%,32º,9.333333333333334,0.0,4.0,cze_circuit_information.pdf,cze_circuit_information.pdf,5.403,15.0,8.0,6.0,28,3.0,5.0,25.0,1.0,9.0,0,,0
11,5,72M. Bezzecchi72M. BezzecchiMooney VR46 Racing Team,Mooney VR46 Racing Team,+17.655,Event esp,2022.0,esp,Bezzecchi,Event esp,Clear,27º,Dry,18%,32º,9.666666666666666,0.0,5.0,esp_circuit_information.pdf,esp_circuit_information.pdf,4.075,12.0,7.0,10.0,29,3.0,5.0,30.0,1.0,9.0,0,,0
12,4,72M. Bezzecchi72M. BezzecchiMooney VR46 Racing Team,Mooney VR46 Racing Team,+23.408,Event fra,2022.0,fra,Bezzecchi,Event fra,Partly Cloudy,28º,Dry,41%,36º,10.333333333333334,0.0,6.0,,,,,,,30,3.0,4.0,34.0,1.0,10.5,0,,0
